ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778885695,2026-05-15T22:54:55.115327+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885700,2026-05-15T22:54:59.850232+00:00,hyperliquid,BTC,-1.4532375e-06,-0.014532375,,,,,
1778885700,2026-05-15T22:54:59.850232+00:00,hyperliquid,ETH,4.437e-07,0.004437,,,,,
1778885700,2026-05-15T22:54:59.850232+00:00,hyperliquid,SOL,-8.27e-07,-0.00827,,,,,
1778885700,2026-05-15T22:54:59.850232+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885756,2026-05-15T22:55:56.192581+00:00,hyperliquid,BTC,-1.45155e-06,-0.0145155,,,,,
1778885756,2026-05-15T22:55:56.192581+00:00,hyperliquid,ETH,4.566125e-07,0.004566125,,,,,
1778885756,2026-05-15T22:55:56.192581+00:00,hyperliquid,SOL,-8.215125e-07,-0.008215125,,,,,
1778885756,2026-05-15T22:55:56.192581+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885761,2026-05-15T22:56:00.559785+00:00,hyperliquid,BTC,-1.4517e-06,-0.014517,,,,,
1778885761,2026-05-15T22:56:00.559785+00:00,hyperliquid,ETH,4.560625e-07,0.004560625,,,,,
1778885761,2026-05-15T22:56:00.559785+00:00,hyperliquid,SOL,-8.219375e-07,-0.008219375,,,,,
1778885761,2026-05-15T22:56:00.559785+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885817,2026-05-15T22:56:56.984205+00:00,hyperliquid,BTC,-1.4575125e-06,-0.014575125,,,,,
1778885817,2026-05-15T22:56:56.984205+00:00,hyperliquid,ETH,4.572625e-07,0.004572625,,,,,
1778885817,2026-05-15T22:56:56.984205+00:00,hyperliquid,SOL,-8.329875e-07,-0.008329875,,,,,
1778885817,2026-05-15T22:56:56.984205+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885821,2026-05-15T22:57:01.385487+00:00,hyperliquid,BTC,-1.45825e-06,-0.0145825,,,,,
1778885821,2026-05-15T22:57:01.385487+00:00,hyperliquid,ETH,4.56725e-07,0.00456725,,,,,
